Started with 222 records, November 25, 2021, 6:38 pm
Stopped with 222 records, November 25, 2021, 6:38 pm

Started with 222 records, November 25, 2021, 6:38 pm
Stopped with 222 records, November 25, 2021, 6:38 pm

Started with 222 records, November 25, 2021, 7:41 pm
Stopped with 222 records, November 25, 2021, 7:41 pm

Started with 22 records, November 26, 2021, 7:56 pm
Started with 22 records, November 26, 2021, 7:59 pm
Started with 22 records, November 26, 2021, 8:00 pm
Stopped with 44 records, November 26, 2021, 8:00 pm

Started with 0 records, November 26, 2021, 8:02 pm
Started with 0 records, November 26, 2021, 8:05 pm
Started with 0 records, November 26, 2021, 8:06 pm
Stopped with 85 records, November 26, 2021, 8:06 pm

Started with 0 records, November 26, 2021, 8:20 pm
Started with 5 records, November 26, 2021, 8:25 pm
Started with 0 records, November 26, 2021, 8:53 pm
Stopped with 85 records, November 26, 2021, 8:53 pm

Started with 85 records, November 26, 2021, 11:13 pm
Stopped with 87 records, November 26, 2021, 11:13 pm

Started with 87 records, November 26, 2021, 11:13 pm
Stopped with 87 records, November 26, 2021, 11:13 pm

Started with 87 records, November 26, 2021, 11:14 pm
Stopped with 87 records, November 26, 2021, 11:14 pm

Started with 87 records, November 26, 2021, 11:28 pm
Stopped with 88 records, November 26, 2021, 11:28 pm

Started with 88 records, November 26, 2021, 11:31 pm
Stopped with 88 records, November 26, 2021, 11:31 pm

Started with 86 records, November 26, 2021, 11:34 pm
Stopped with 87 records, November 26, 2021, 11:34 pm

Started with 86 records, November 26, 2021, 11:35 pm
Stopped with 87 records, November 26, 2021, 11:35 pm

Started with 87 records, November 27, 2021, 6:51 am
Stopped with 88 records, November 27, 2021, 6:51 am

Started with 88 records, November 27, 2021, 6:57 am
Started with 0 records, November 27, 2021, 7:03 am
Stopped with 87 records, November 27, 2021, 7:03 am

Started with 87 records, November 27, 2021, 9:19 am
Started with 87 records, November 27, 2021, 9:19 am
Started with 87 records, November 27, 2021, 9:19 am
Started with 87 records, November 27, 2021, 9:19 am
Started with 87 records, November 27, 2021, 9:21 am
Stopped with 87 records, November 27, 2021, 9:21 am

Started with 0 records, November 29, 2021, 8:58 am
Started with 0 records, November 29, 2021, 9:02 am
Started with 0 records, November 29, 2021, 9:03 am
Started with 0 records, November 29, 2021, 9:07 am
Started with 0 records, November 29, 2021, 9:08 am
Started with 0 records, November 29, 2021, 9:10 am
Started with 0 records, November 29, 2021, 9:10 am
Started with 0 records, November 29, 2021, 9:11 am
Started with 0 records, November 29, 2021, 9:12 am
Started with 0 records, November 29, 2021, 9:15 am
Started with 0 records, November 29, 2021, 9:17 am
Started with 0 records, November 29, 2021, 9:19 am
Started with 3 records, November 29, 2021, 9:23 am
Started with 0 records, November 29, 2021, 9:45 am
Started with 0 records, December 8, 2021, 5:07 pm
Started with 0 records, June 10, 2022, 10:47 pm
Stopped with 109 records, June 10, 2022, 10:47 pm

Started with 109 records, June 10, 2022, 11:06 pm
Stopped with 109 records, June 10, 2022, 11:06 pm

Started with 0 records, June 10, 2022, 11:09 pm
Stopped with 108 records, June 10, 2022, 11:09 pm

Started with 106 records, June 10, 2022, 11:24 pm
Stopped with 108 records, June 10, 2022, 11:24 pm

Started with 0 records, July 25, 2022, 5:17 pm
Started with 11 records, July 25, 2022, 5:26 pm
Started with 0 records, July 25, 2022, 6:10 pm
Started with 0 records, July 25, 2022, 7:31 pm
Started with 0 records, July 25, 2022, 7:34 pm
Started with 0 records, July 25, 2022, 10:21 pm
Started with 0 records, July 25, 2022, 10:22 pm
Started with 0 records, July 25, 2022, 10:23 pm
Started with 8 records, July 25, 2022, 10:34 pm
Started with 13 records, September 22, 2022, 6:55 pm
Stopped with 132 records, September 22, 2022, 6:55 pm

Started with 0 records, September 22, 2022, 8:58 pm
Started with 0 records, September 22, 2022, 9:07 pm
Started with 0 records, September 22, 2022, 9:10 pm
Started with 0 records, September 22, 2022, 9:15 pm
Started with 0 records, September 22, 2022, 9:16 pm
Started with 0 records, September 22, 2022, 9:50 pm
Started with 0 records, September 22, 2022, 9:51 pm
Started with 0 records, September 22, 2022, 10:06 pm
Started with 0 records, September 22, 2022, 10:08 pm
